,query,tp,fp,fn,tn,precision,recall,acc,f1,mcc,map,precision_rank_10
0,Simulator,5,0,0,68,1.0,1.0,1.0,1.0,1.0,1.0,0.5
1,VR,4,1,0,68,0.8,1.0,0.99,0.89,0.89,0.95,0.4
2,Wizadora,1,4,0,68,0.2,1.0,0.95,0.33,0.43,0.5,0.1
3,ExerCube,1,4,0,68,0.2,1.0,0.95,0.33,0.43,0.5,0.1
4,Journalist untersucht Korruption,2,3,1,67,0.4,0.67,0.95,0.5,0.49,0.25,0.2
5,Bau,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.0
6,Antike,2,3,1,67,0.4,0.67,0.95,0.5,0.49,0.425,0.2
7,Karriere,2,3,3,65,0.4,0.4,0.92,0.4,0.36,0.5,0.2
8,Englisch lernen,1,4,2,66,0.2,0.33,0.92,0.25,0.22,0.25,0.3
9,seelische Erkrankung,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.05,0.2
10,Bekämpfung von Krankheiten,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.125,0.3
11,Kognitive Entwicklung,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.5,0.1
12,Mathematik,3,2,0,68,0.6,1.0,0.97,0.75,0.76,0.95,0.3
13,Konzentration fördern,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.5,0.1
14,logisches Denken üben,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.05,0.1
15,Geographisches Verständnis,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.25,0.1
16,Sozialverhalten,2,3,3,65,0.4,0.4,0.92,0.4,0.36,0.325,0.2
17,Fitness,3,2,2,66,0.6,0.6,0.95,0.6,0.57,0.2,0.4
18,Motorik,3,2,1,67,0.6,0.75,0.96,0.67,0.65,0.675,0.3
19,Empathie,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.5,0.2
20,Müll trennen,1,4,1,67,0.2,0.5,0.93,0.29,0.29,0.5,0.2
21,Umwelt,2,3,3,65,0.4,0.4,0.92,0.4,0.36,0.8,0.3
22,Politik und Wirtschaft,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.05,0.1
23,Körper Bewegung Gesundheit,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.0,0.2
24,Konstruieren,2,3,3,65,0.4,0.4,0.92,0.4,0.36,0.575,0.2
25,Umgang im Internet,2,3,3,65,0.4,0.4,0.92,0.4,0.36,0.2,0.3
26,Werte,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.25,0.2
27,Menschenrechte,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.125,0.3
28,Biologie und Chemie,1,4,2,66,0.2,0.33,0.92,0.25,0.22,0.5,0.1
29,Umgang mit Sozial Medias,2,3,1,67,0.4,0.67,0.95,0.5,0.49,0.425,0.2
30,Unternehmerisches Denken,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.1
31,Verantwortungsvoller Umgang mit Medien,1,4,2,66,0.2,0.33,0.92,0.25,0.22,0.0,0.2
32,Selbstständigkeit,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.05,0.1
33,Historie und Geschichte,3,2,2,66,0.6,0.6,0.95,0.6,0.57,0.675,0.3
34,Kooperation mit anderen Menschen,2,3,3,65,0.4,0.4,0.92,0.4,0.36,0.125,0.2
35,Frustrationstoleranz fördern,1,4,3,65,0.2,0.25,0.9,0.22,0.17,0.5,0.1
36,Verantwortungsbewusstsein,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.25,0.1
37,Orientierungssinn üben,0,5,3,65,0.0,0.0,0.89,0.0,-0.06,0.0,0.1
38,Engangement,2,3,3,65,0.4,0.4,0.92,0.4,0.36,0.25,0.2
39,Sprachen,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.5,0.2
40,Finanzen,1,4,2,66,0.2,0.33,0.92,0.25,0.22,0.5,0.1
41,Strategiespiele,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.0
42,Informatik,1,4,3,65,0.2,0.25,0.9,0.22,0.17,0.125,0.1
43,Berufswahl,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.2
44,Leben in einer Gesellschaft,1,4,3,65,0.2,0.25,0.9,0.22,0.17,0.0,0.2
45,Vorausschauende Entscheidungen,1,4,1,67,0.2,0.5,0.93,0.29,0.29,0.05,0.1
46,Sicherheit,1,4,3,65,0.2,0.25,0.9,0.22,0.17,0.5,0.2
47,Therapiespiel,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.1
48,Wissen des Spielers anregen,1,4,4,64,0.2,0.2,0.89,0.2,0.14,0.5,0.1
49,Spielsucht,2,3,1,67,0.4,0.67,0.95,0.5,0.49,0.55,0.3
50,Sport,2,3,3,65,0.4,0.4,0.92,0.4,0.36,0.2,0.4
51,Rollenspiele,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.0
52,Action,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.0
53,Multiplayer,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.0
54,2015,0,5,5,63,0.0,0.0,0.86,0.0,-0.07,0.0,0.1
