,query,embed,elastic,process,process + network
0,Simulator,0.0663,0.577,0.0051,0.10034370422363281
1,VR,0.0413,0.449,0.0062,0.08303475379943848
2,Wizadora,0.1088,0.376,0.0053,0.08915400505065918
3,ExerCube,0.0718,0.464,0.0062,0.0924828052520752
4,Journalist untersucht Korruption,0.0649,0.373,0.0053,0.08738994598388672
5,Bau,0.1089,0.416,0.0053,0.08862066268920898
6,Antike,0.0561,0.515,0.005,0.08843111991882324
7,Karriere,0.047,0.389,0.0054,0.0924992561340332
8,Englisch lernen,0.0473,0.58,0.0051,0.08867907524108887
9,seelische Erkrankung,0.095,0.441,0.0051,0.08727693557739258
10,Bekämpfung von Krankheiten,0.2628,0.363,0.005,0.09187602996826172
11,Kognitive Entwicklung,0.0589,0.585,0.0051,0.08936500549316406
12,Mathematik,0.0458,0.392,0.0052,0.08696317672729492
13,Konzentration fördern,0.2901,0.419,0.0054,0.08840823173522949
14,logisches Denken üben,0.0918,0.504,0.0055,0.08832812309265137
15,Geographisches Verständnis,0.0692,0.39,0.005,0.08487486839294434
16,Sozialverhalten,0.0507,0.585,0.0052,0.08974909782409668
17,Fitness,0.0486,0.365,0.0052,0.09090924263000488
18,Motorik,0.0659,0.488,0.0056,0.08969402313232422
19,Empathie,0.0705,0.39,0.0071,0.09268975257873535
20,Müll trennen,0.0565,0.56,0.0053,0.08903312683105469
21,Umwelt,0.0463,0.357,0.0074,0.08579182624816895
22,Politik und Wirtschaft,0.0606,0.44,0.005,0.08206796646118164
23,Körper Bewegung Gesundheit,0.0759,0.405,0.005,0.08446693420410156
24,Konstruieren,0.049,0.536,0.0073,0.08555793762207031
25,Umgang im Internet,0.0737,0.398,0.0055,0.08655381202697754
26,Werte,0.0568,0.55,0.0056,0.08279776573181152
27,Menschenrechte,0.0587,0.366,0.005,0.09775400161743164
28,Biologie und Chemie,0.0757,0.556,0.0059,0.09053587913513184
29,Umgang mit Sozial Medias,0.0783,0.382,0.0051,0.08890295028686523
30,Unternehmerisches Denken,0.0692,0.449,0.0052,0.092987060546875
31,Verantwortungsvoller Umgang mit Medien,0.1538,0.358,0.0055,0.08836984634399414
32,Selbstständigkeit,0.0556,0.568,0.0054,0.08157181739807129
33,Historie und Geschichte,0.0624,0.462,0.0079,0.0897219181060791
34,Kooperation mit anderen Menschen,0.1709,0.388,0.0051,0.08854484558105469
35,Frustrationstoleranz fördern,0.1157,0.561,0.0056,0.08938121795654297
36,Verantwortungsbewusstsein,0.0696,0.41,0.0052,0.08961105346679688
37,Orientierungssinn üben,0.1856,0.383,0.0052,0.08990311622619629
38,Engangement,0.0646,0.539,0.0059,0.08754897117614746
39,Sprachen,0.0641,0.392,0.005,0.08480310440063477
40,Finanzen,0.1552,0.407,0.0056,0.08444094657897949
41,Strategiespiele,0.0477,0.509,0.0049,0.08354306221008301
42,Informatik,0.0498,0.381,0.0053,0.08409929275512695
43,Berufswahl,0.0508,0.559,0.0048,0.07939624786376953
44,Leben in einer Gesellschaft,0.0624,0.437,0.0071,0.08818197250366211
45,Vorausschauende Entscheidungen,0.1857,0.389,0.0052,0.08628416061401367
46,Sicherheit,0.0459,0.564,0.007,0.09220314025878906
47,Therapiespiel,0.058,0.369,0.0061,0.09326815605163574
48,Wissen des Spielers anregen,0.279,0.381,0.0048,0.0894918441772461
49,Spielsucht,0.0649,0.531,0.0051,0.08796405792236328
50,Sport,0.053,0.376,0.0049,0.08435916900634766
51,Rollenspiele,0.0645,0.571,0.0052,0.08515501022338867
52,Action,0.0423,0.419,0.0051,0.08968305587768555
53,Multiplayer,0.2376,0.399,0.0052,0.0893852710723877
54,2015,0.0442,0.588,0.007,0.09259390830993652
